"rideable_type","member_casual","minutes_by_group","day_of_week","month","hour_of_day"
"classic_bike","member","up to 10 min.","Saturday","May",20
"electric_bike","member","10 to 30 min.","Wednesday","June",14
"electric_bike","member","up to 10 min.","Monday","November",9
"electric_bike","member","up to 10 min.","Monday","August",16
"classic_bike","casual","up to 10 min.","Sunday","May",18
"classic_bike","member","10 to 30 min.","Saturday","July",18
"electric_bike","member","10 to 30 min.","Thursday","August",13
"electric_scooter","member","up to 10 min.","Wednesday","September",18
"electric_bike","casual","up to 10 min.","Tuesday","November",13
"electric_bike","member","up to 10 min.","Friday","May",18
"electric_bike","casual","over 60 min.","Friday","July",14
"classic_bike","casual","10 to 30 min.","Tuesday","May",21
"classic_bike","member","up to 10 min.","Thursday","December",8
"classic_bike","member","10 to 30 min.","Wednesday","July",16
"electric_bike","member","up to 10 min.","Monday","October",9
"classic_bike","member","10 to 30 min.","Tuesday","September",7
"electric_bike","casual","up to 10 min.","Sunday","September",9
"electric_bike","casual","up to 10 min.","Monday","April",21
"electric_bike","casual","10 to 30 min.","Wednesday","October",17
"electric_scooter","casual","up to 10 min.","Saturday","September",16
"electric_bike","member","up to 10 min.","Saturday","December",12
"classic_bike","member","10 to 30 min.","Thursday","May",11
"classic_bike","member","10 to 30 min.","Saturday","April",16
"electric_bike","member","up to 10 min.","Saturday","January",2
"classic_bike","member","10 to 30 min.","Wednesday","June",6
"classic_bike","member","up to 10 min.","Thursday","May",18
"electric_bike","casual","up to 10 min.","Friday","April",11
"classic_bike","member","up to 10 min.","Friday","May",13
"electric_bike","member","up to 10 min.","Friday","October",7
"classic_bike","member","up to 10 min.","Saturday","April",15
"electric_bike","member","up to 10 min.","Saturday","September",18
"classic_bike","casual","up to 10 min.","Monday","May",17
"electric_bike","casual","10 to 30 min.","Saturday","August",17
"electric_bike","casual","up to 10 min.","Sunday","October",7
"electric_bike","casual","10 to 30 min.","Friday","July",10
"classic_bike","casual","30 to 60 min.","Sunday","October",15
"electric_bike","member","10 to 30 min.","Saturday","July",10
"electric_bike","casual","up to 10 min.","Thursday","July",6
"classic_bike","member","up to 10 min.","Friday","June",12
"electric_bike","casual","30 to 60 min.","Saturday","May",11
"electric_bike","casual","over 60 min.","Thursday","June",12
"classic_bike","member","30 to 60 min.","Wednesday","June",16
"classic_bike","member","up to 10 min.","Wednesday","January",6
"classic_bike","casual","10 to 30 min.","Friday","July",8
"electric_bike","member","10 to 30 min.","Friday","November",16
"classic_bike","member","30 to 60 min.","Friday","July",13
"classic_bike","casual","up to 10 min.","Friday","August",13
"classic_bike","member","up to 10 min.","Wednesday","May",14
"electric_bike","casual","10 to 30 min.","Wednesday","July",18
"classic_bike","member","10 to 30 min.","Friday","May",19
"electric_bike","casual","up to 10 min.","Thursday","February",17
"classic_bike","member","up to 10 min.","Tuesday","October",7
"classic_bike","member","up to 10 min.","Friday","May",18
"electric_bike","member","up to 10 min.","Friday","July",17
"electric_bike","member","up to 10 min.","Monday","December",10
"classic_bike","member","up to 10 min.","Monday","August",13
"electric_bike","member","10 to 30 min.","Wednesday","August",18
"electric_bike","casual","10 to 30 min.","Saturday","August",11
"classic_bike","casual","10 to 30 min.","Friday","April",9
"classic_bike","casual","up to 10 min.","Saturday","June",1
"electric_bike","member","10 to 30 min.","Monday","May",17
"electric_scooter","casual","10 to 30 min.","Thursday","September",17
"electric_bike","casual","30 to 60 min.","Saturday","August",11
"electric_bike","member","30 to 60 min.","Saturday","May",16
"classic_bike","casual","up to 10 min.","Sunday","May",20
"electric_bike","member","10 to 30 min.","Wednesday","March",17
"electric_bike","member","up to 10 min.","Saturday","July",16
"classic_bike","member","up to 10 min.","Saturday","August",15
"classic_bike","member","10 to 30 min.","Thursday","December",20
"classic_bike","member","10 to 30 min.","Friday","June",11
"electric_bike","member","10 to 30 min.","Wednesday","May",16
"electric_bike","casual","10 to 30 min.","Wednesday","October",12
"electric_bike","member","up to 10 min.","Tuesday","June",5
"electric_bike","member","up to 10 min.","Wednesday","October",16
"electric_bike","casual","up to 10 min.","Saturday","October",22
"electric_bike","casual","30 to 60 min.","Sunday","May",16
"electric_bike","casual","up to 10 min.","Thursday","July",23
"classic_bike","member","30 to 60 min.","Sunday","June",19
"electric_bike","casual","up to 10 min.","Tuesday","November",9
"classic_bike","member","up to 10 min.","Monday","July",9
"classic_bike","member","10 to 30 min.","Sunday","October",10
"classic_bike","casual","30 to 60 min.","Saturday","October",10
"electric_bike","member","up to 10 min.","Thursday","July",16
"classic_bike","member","up to 10 min.","Monday","October",18
"electric_bike","casual","10 to 30 min.","Saturday","June",16
"electric_bike","member","up to 10 min.","Tuesday","July",8
"electric_bike","casual","up to 10 min.","Sunday","June",11
"electric_bike","member","up to 10 min.","Thursday","April",12
"electric_bike","member","10 to 30 min.","Monday","July",20
"electric_bike","casual","10 to 30 min.","Friday","July",10
"classic_bike","member","10 to 30 min.","Friday","December",13
"classic_bike","casual","10 to 30 min.","Sunday","June",13
"classic_bike","casual","10 to 30 min.","Wednesday","September",15
"classic_bike","member","up to 10 min.","Wednesday","April",11
"electric_bike","casual","10 to 30 min.","Saturday","September",16
"electric_bike","member","up to 10 min.","Tuesday","June",17
"electric_bike","casual","10 to 30 min.","Saturday","December",14
"electric_bike","member","10 to 30 min.","Thursday","November",23
"classic_bike","casual","up to 10 min.","Saturday","October",14
"electric_bike","casual","up to 10 min.","Saturday","September",9
"classic_bike","member","10 to 30 min.","Monday","August",19
"classic_bike","member","10 to 30 min.","Friday","February",7
"electric_bike","member","10 to 30 min.","Tuesday","October",18
"electric_bike","casual","up to 10 min.","Sunday","October",11
"classic_bike","casual","over 60 min.","Saturday","June",11
"electric_bike","member","up to 10 min.","Wednesday","July",20
"classic_bike","casual","10 to 30 min.","Tuesday","September",16
"electric_bike","member","up to 10 min.","Thursday","May",11
"electric_bike","member","up to 10 min.","Saturday","August",14
"classic_bike","casual","over 60 min.","Friday","June",11
"classic_bike","casual","up to 10 min.","Tuesday","July",12
"classic_bike","member","up to 10 min.","Tuesday","August",19
"electric_bike","member","10 to 30 min.","Tuesday","November",9
"electric_bike","casual","up to 10 min.","Tuesday","August",8
"classic_bike","casual","over 60 min.","Saturday","February",15
"classic_bike","member","10 to 30 min.","Saturday","January",15
"electric_bike","member","10 to 30 min.","Thursday","May",13
"classic_bike","member","up to 10 min.","Friday","February",0
