"rideable_type","member_casual","minutes_by_group","day_of_week","month","hour_of_day"
"classic_bike","member","up to 10 min.","Monday","May",20
"electric_bike","member","10 to 30 min.","Saturday","July",18
"electric_bike","member","up to 10 min.","Sunday","July",19
"electric_bike","member","up to 10 min.","Saturday","July",13
"electric_bike","member","10 to 30 min.","Saturday","June",17
"classic_bike","member","up to 10 min.","Thursday","November",16
"classic_bike","member","up to 10 min.","Monday","July",13
"classic_bike","member","10 to 30 min.","Monday","September",12
"classic_bike","member","up to 10 min.","Saturday","June",17
"classic_bike","member","up to 10 min.","Thursday","July",20
"classic_bike","member","up to 10 min.","Saturday","April",15
"classic_bike","casual","up to 10 min.","Thursday","July",15
"electric_bike","member","10 to 30 min.","Thursday","October",17
"classic_bike","member","up to 10 min.","Friday","August",6
"classic_bike","member","up to 10 min.","Wednesday","April",18
"electric_bike","member","up to 10 min.","Wednesday","November",18
"electric_bike","member","10 to 30 min.","Friday","October",8
"classic_bike","casual","up to 10 min.","Thursday","July",18
"classic_bike","member","up to 10 min.","Sunday","October",21
"classic_bike","casual","up to 10 min.","Saturday","May",10
"classic_bike","member","up to 10 min.","Friday","July",20
"classic_bike","casual","10 to 30 min.","Sunday","June",7
"classic_bike","member","up to 10 min.","Tuesday","November",13
"classic_bike","member","up to 10 min.","Friday","February",6
"electric_bike","member","up to 10 min.","Tuesday","April",10
"classic_bike","casual","up to 10 min.","Friday","February",15
"electric_bike","member","up to 10 min.","Monday","April",6
"electric_bike","casual","up to 10 min.","Sunday","November",17
"classic_bike","member","10 to 30 min.","Thursday","October",16
"electric_bike","member","up to 10 min.","Friday","August",7
"electric_scooter","member","up to 10 min.","Wednesday","September",8
"electric_scooter","member","up to 10 min.","Tuesday","September",9
"electric_bike","member","up to 10 min.","Wednesday","April",10
"electric_bike","member","up to 10 min.","Thursday","September",18
"classic_bike","casual","30 to 60 min.","Sunday","July",15
"electric_bike","member","up to 10 min.","Thursday","March",12
"classic_bike","member","10 to 30 min.","Wednesday","December",16
"classic_bike","casual","10 to 30 min.","Thursday","July",20
"electric_bike","casual","30 to 60 min.","Sunday","May",12
"classic_bike","member","up to 10 min.","Monday","July",13
"classic_bike","member","up to 10 min.","Sunday","September",15
"classic_bike","casual","up to 10 min.","Tuesday","April",11
"electric_bike","member","up to 10 min.","Tuesday","August",19
"classic_bike","casual","up to 10 min.","Saturday","August",17
"electric_bike","casual","up to 10 min.","Friday","September",15
"electric_bike","member","10 to 30 min.","Tuesday","August",10
